"cropRichness","FarmKey","cropDiversity","Year"
1,"AS",0,"2017"
31,"BE",2.04885401033582,"2017"
25,"CF",1.64851223756658,"2017"
46,"DI",2.28353932749327,"2017"
1,"DS",0,"2017"
49,"FO",2.34037192278581,"2017"
5,"GA",1.4336355647558,"2017"
1,"IS",0,"2017"
29,"KY",1.24196242473395,"2017"
1,"VI",0,"2017"
1,"AE",0,"2018"
23,"AG",2.25673215428116,"2018"
1,"BF",0,"2018"
25,"CF",2.43483707459389,"2018"
30,"DF",2.75920231451771,"2018"
37,"DI",2.66551784331371,"2018"
1,"EF",0,"2018"
66,"FO",3.51083747084185,"2018"
1,"GA",0,"2018"
1,"IS",0,"2018"
1,"JV",0,"2018"
36,"KU",2.79499031081266,"2018"
30,"KY",2.75467483400722,"2018"
68,"LH",3.78615498060835,"2018"
30,"OT",2.56442901551794,"2018"
1,"SD",0,"2018"
1,"SF",0,"2018"
1,"VD",0,"2018"
1,"VK",0,"2018"
27,"YJ",2.76768875656803,"2018"
55,"ZI",2.66249023330482,"2018"
